"","station","LATITUDE","LONGITUDE"
"183","King St Metro",38.80606,-77.06064
"184","22nd & I St NW / Foggy Bottom",38.90088,-77.048911
"185","10th & E St NW",38.895914,-77.026064
"186","15th & K St NW",38.902,-77.03353
"187","King St & Patrick St",38.805317,-77.049883
"188","24th & N St NW",38.9066,-77.05152
"189","Gallaudet / 8th St & Florida Ave NE",38.90509,-76.9941
"190","Commerce St & Fayette St",38.805648,-77.05293
"191","Prince St & Union St",38.803124,-77.040363
"192","Braddock Rd Metro",38.814577,-77.052808
"193","1st & N St  SE",38.8743,-77.0057
"194","Market Square / King St & Royal St",38.804718,-77.043363
"195","Utah St & 11th St N",38.883669,-77.113905
"196","Arlington Blvd & N Queen St",38.889365,-77.077294
"197","Barton St & 10th St N",38.884961,-77.08777
"198","Henry St & Pendleton St",38.811456,-77.050276
"199","Saint Asaph St & Pendleton  St",38.810743,-77.044664
"200","Pentagon City Metro / 12th & Hayes St",38.862992,-77.058288
"201","Lincoln Memorial",38.888251,-77.049426
"202","Crystal City Metro / 18th & Bell St",38.857405,-77.051132
"203","Potomac Ave & 35th St S",38.844015,-77.050537
"204","8th & F St NW / National Portrait Gallery",38.898124,-77.023073
